,name,company,year,Price,kms_driven,fuel_type
1325,Amaze SX,Honda,2017,577179,59043,Petrol
1326,Sail 1.2,Chevrolet,2017,1652190,131226,CNG
1327,A3 35 TFSI,Audi,2004,859176,128881,LPG
1328,A4 2.0 TDI,Audi,2016,1536922,55378,Diesel
1329,Harrier XZ,Tata,2022,1160634,111663,Diesel
1330,City VX,Honda,2007,1224479,102053,Petrol
1331,Jazz V,Honda,2012,1578807,143382,Diesel
1332,Spark 1.0,Chevrolet,2015,1551090,143377,Diesel
1333,Fortuner 3.0,Toyota,2023,317892,39862,CNG
1334,Rapid 1.6,Skoda,2022,960300,90538,CNG
1335,Civic 1.8V,Honda,2010,368752,66129,Diesel
1336,Octavia Classic,Skoda,2023,587315,99045,Diesel
1337,Kwid RXT,Renault,2006,300799,98364,Diesel
1338,X1 sDrive,BMW,2022,1672581,91509,CNG
1339,Nexon XZ,Tata,2020,203778,118685,CNG
1340,X5 xDrive,BMW,2016,1397719,41624,Petrol
1341,Polo Highline,Volkswagen,2004,78049,58992,LPG
1342,Jetta 2.0,Volkswagen,2005,235768,60917,Petrol
1343,Nexon XZ,Tata,2015,592700,76333,Diesel
1344,Superb L&K,Skoda,2013,1377708,72368,CNG
1345,Corolla Altis,Toyota,2020,1472939,36195,Petrol
1346,GLA Class 200,Mercedes,2017,1725678,4345,CNG
1347,Innova 2.5 V,Toyota,2023,1988497,17148,Petrol
1348,E Class E220,Mercedes,2011,923602,74439,Petrol
1349,Spark 1.0,Chevrolet,2023,1918432,53257,Petrol
1350,Grand i10,Hyundai,2021,232680,52245,Diesel
1351,Fortuner 3.0,Toyota,2001,63229,26160,Petrol
1352,Grand i10,Hyundai,2002,384511,22006,LPG
1353,Lodgy 85 PS,Renault,2003,258584,83461,LPG
1354,X1 sDrive,BMW,2000,682986,72834,LPG
1355,Kwid RXT,Renault,2004,261866,18121,LPG
1356,Grand i10,Hyundai,2001,162688,101800,Diesel
1357,Lodgy 85 PS,Renault,2022,287714,44649,CNG
1358,Lodgy 85 PS,Renault,2021,2033626,131561,Petrol
1359,Q7 3.0 TDI,Audi,2002,638494,100993,CNG
1360,Elantra,Hyundai,2005,1006083,68179,Petrol
1361,Superb L&K,Skoda,2015,1385159,53868,Petrol
1362,Santro Xing,Hyundai,2008,940491,123147,LPG
1363,Suzuki Ertiga,Maruti,2015,233665,48354,Diesel
1364,Grand i10,Hyundai,2012,281036,63102,CNG
1365,Jetta 2.0,Volkswagen,2015,317684,129297,Petrol
1366,Superb L&K,Skoda,2019,256021,77839,Petrol
1368,Octavia Classic,Skoda,2003,76828,33811,CNG
1369,E Class E220,Mercedes,2019,157969,78032,LPG
1370,Lodgy 85 PS,Renault,2010,1069493,133636,LPG
1372,3 Series 320d,BMW,2013,565542,140827,Diesel
1373,X1 sDrive,BMW,2022,186953,112836,Diesel
1374,A6 2.0 TDI,Audi,2008,181533,98233,LPG
1375,A4 2.0 TDI,Audi,2000,321057,107606,Diesel
1376,E Class E220,Mercedes,2013,1251285,110158,Petrol
1377,KUV100,Mahindra,2015,195533,80212,CNG
1378,S Class S350,Mercedes,2015,1819717,45096,Petrol
1379,Santro Xing,Hyundai,2018,752406,50046,Diesel
1380,Ikon 1.3,Ford,2007,53775,92658,Petrol
1381,Ikon 1.3,Ford,2017,270079,40204,CNG
1382,Santro Xing,Hyundai,2000,435793,119346,LPG
1383,XUV500 W8,Mahindra,2006,859702,107730,Petrol
1384,Nano GenX,Tata,2018,1393176,128175,LPG
1385,Jetta 2.0,Volkswagen,2004,314808,106766,CNG
1386,Amaze SX,Honda,2010,1079043,4792,Petrol
1387,Figo Aspire,Ford,2019,1543269,19281,Diesel
1388,Yaris J,Toyota,2000,268161,115953,LPG
1389,Indica V2,Tata,2022,2169738,114007,Diesel
1390,Ikon 1.3,Ford,2023,1137100,33484,Diesel
1392,Amaze SX,Honda,2012,507145,117673,LPG
1393,Amaze SX,Honda,2019,227467,7051,CNG
1395,City VX,Honda,2002,215994,110737,Diesel
1396,Suzuki Swift,Maruti,2000,545791,147665,Petrol
1399,Nexon XZ,Tata,2000,131636,75572,LPG
1400,5 Series 520d,BMW,2008,298444,145093,Petrol
1401,Nexon XZ,Tata,2018,1941974,136203,LPG
1402,Yeti Plus,Skoda,2018,1698964,127987,CNG
1403,Civic 1.8V,Honda,2011,928238,77936,Petrol
1404,Civic 1.8V,Honda,2007,498172,134837,Diesel
1405,S Class S350,Mercedes,2002,77168,67269,Diesel
1406,Safari Dicor,Tata,2010,1198382,72918,CNG
1407,Sail 1.2,Chevrolet,2017,452533,94441,CNG
1408,Jazz V,Honda,2012,1456398,119367,Petrol
1409,Bolero Power,Mahindra,2005,1105070,101286,Petrol
1410,X1 sDrive,BMW,2004,995782,64991,Petrol
1411,Jeep CL550,Mahindra,2000,131291,42979,LPG
1412,Beat LS,Chevrolet,2021,1011163,54794,Petrol
1413,Jazz V,Honda,2022,1347268,3285,CNG
1414,Lodgy 85 PS,Renault,2013,134816,96974,Petrol
1415,Vento 1.5,Volkswagen,2015,1719669,48063,LPG
1416,GLA Class 200,Mercedes,2008,1178209,21424,Diesel
1417,Grand i10,Hyundai,2009,745227,102388,Diesel
1418,Etios Liva,Toyota,2004,969912,68058,LPG
1419,Kicks XL,Nissan,2011,599384,4477,Petrol
1420,KUV100,Mahindra,2001,748610,138391,Petrol
1421,Ameo 1.5,Volkswagen,2014,91885,44762,CNG
1422,Ikon 1.3,Ford,2014,1645374,131681,LPG
1423,Yeti Plus,Skoda,2012,66864,110944,LPG
1427,Harrier XZ,Tata,2019,647322,6041,LPG
1428,Yaris J,Toyota,2011,355214,44026,LPG
1429,Nano GenX,Tata,2012,1394933,7741,LPG
1430,Elantra,Hyundai,2014,1421231,81908,Diesel
1431,Fiesta EXI,Ford,2020,150884,111826,Petrol
1432,5 Series 520d,BMW,2022,158138,64753,Diesel
1433,Kicks XL,Nissan,2019,107289,26445,Petrol
1435,Cruze VCDi,Chevrolet,2010,773394,59087,Diesel
1436,Corolla Altis,Toyota,2000,395220,141588,Petrol
1437,City VX,Honda,2023,130982,15765,Petrol
1438,Fabia 1.2L,Skoda,2020,1602369,59432,Diesel
1439,Q3 2.0 TDI,Audi,2007,54125,26034,CNG
1440,Suzuki Vitara Brezza,Maruti,2009,410900,149265,LPG
1441,Elantra,Hyundai,2010,258235,21542,Petrol
1442,3 Series 320d,BMW,2019,1093816,148525,CNG
1443,A4 2.0 TDI,Audi,2017,502210,117635,Diesel
1444,C Class C220,Mercedes,2012,131063,85422,LPG
1445,XUV500 W8,Mahindra,2010,601603,104510,CNG
1446,Beat LS,Chevrolet,2012,305535,13278,Diesel
1447,Civic 1.8V,Honda,2013,278713,59561,LPG
1448,Lodgy 85 PS,Renault,2004,211144,4626,Petrol
1449,Ameo 1.5,Volkswagen,2019,458965,84385,Diesel
1450,Octavia Classic,Skoda,2021,1568873,9836,Petrol
1451,Fabia 1.2L,Skoda,2002,412172,32716,CNG
1452,Q7 3.0 TDI,Audi,2002,837203,74331,Diesel
1453,3 Series 320d,BMW,2003,189055,120817,Petrol
1454,CR-V 2.4,Honda,2020,97357,11421,CNG
1455,Lodgy 85 PS,Renault,2018,1609185,82659,LPG
1456,Creta 1.6,Hyundai,2009,1313034,78263,CNG
1457,Nexon XZ,Tata,2006,542769,67215,Petrol
1458,Sail 1.2,Chevrolet,2015,929506,92608,LPG
1459,Corolla Altis,Toyota,2018,1332454,81872,CNG
1460,Tiago Revotorq,Tata,2014,1375641,71750,LPG
1461,Amaze SX,Honda,2012,747527,54218,CNG
1462,Jeep CL550,Mahindra,2015,94873,4115,Diesel
1463,Endeavour 3.2,Ford,2011,701977,134636,LPG
1464,Amaze SX,Honda,2018,1767041,20185,Diesel
1465,GLA Class 200,Mercedes,2011,282333,74357,LPG
1466,S Class S350,Mercedes,2018,928140,85393,LPG
1467,Thar CRDe,Mahindra,2003,621168,98799,LPG
1468,Ikon 1.3,Ford,2005,999170,90298,LPG
1469,EcoSport Titanium,Ford,2017,1686317,16725,LPG
1470,Sail 1.2,Chevrolet,2022,799197,117668,Diesel
1471,Suzuki Vitara Brezza,Maruti,2004,893349,70757,Diesel
1472,Q7 3.0 TDI,Audi,2011,916528,143105,Petrol
1473,A4 2.0 TDI,Audi,2001,78519,72957,CNG
1474,Duster 110 PS,Renault,2020,427707,45234,Petrol
1475,Q3 2.0 TDI,Audi,2009,1072119,54373,Diesel
1476,Elantra,Hyundai,2021,2234648,114171,Diesel
1477,Terrano XL,Nissan,2000,259336,51218,LPG
1478,X1 sDrive,BMW,2014,615907,65770,Diesel
1479,Rapid 1.6,Skoda,2018,2000957,4735,LPG
1480,Endeavour 3.2,Ford,2021,1166232,103334,Diesel
1481,Suzuki Swift,Maruti,2008,666446,49172,Petrol
1482,Sail 1.2,Chevrolet,2007,271250,5758,CNG
1483,Polo Highline,Volkswagen,2015,1777460,66510,CNG
1484,Suzuki Wagon R,Maruti,2009,811708,129079,LPG
1485,Q7 3.0 TDI,Audi,2006,1126143,84376,CNG
1486,GLA Class 200,Mercedes,2014,121930,91398,CNG
1487,Lodgy 85 PS,Renault,2021,1160380,149465,LPG
1488,Captur RXL,Renault,2011,320734,112125,CNG
1489,Polo Highline,Volkswagen,2010,553227,99353,CNG
1490,Micra XL,Nissan,2007,602803,48072,CNG
1492,Thar CRDe,Mahindra,2007,98678,70445,CNG
1493,Q3 2.0 TDI,Audi,2016,547423,32546,Petrol
1494,Rapid 1.6,Skoda,2013,823827,84658,Diesel
1495,Spark 1.0,Chevrolet,2017,205906,70520,LPG
1496,E Class E220,Mercedes,2007,679899,142652,Petrol
1497,Sunny XV,Nissan,2004,987533,143362,LPG
1498,E Class E220,Mercedes,2019,2113006,27593,Petrol
1499,Captur RXL,Renault,2018,567251,53692,CNG
1500,Suzuki Wagon R,Maruti,2010,1254991,1704,Diesel
1501,Suzuki Baleno,Maruti,2005,53557,43184,Petrol
1502,A6 2.0 TDI,Audi,2006,525197,37545,Diesel
1503,Fabia 1.2L,Skoda,2004,163582,119811,CNG
1504,X1 sDrive,BMW,2001,48883,147670,Petrol
1505,Ameo 1.5,Volkswagen,2011,722268,121613,Diesel
1506,Jetta 2.0,Volkswagen,2007,805213,23639,Diesel
1507,Lodgy 85 PS,Renault,2015,1740671,20828,Petrol
1508,3 Series 320d,BMW,2012,944097,49746,LPG
1509,Santro Xing,Hyundai,2000,423391,114846,Petrol
1510,Duster 110 PS,Renault,2023,119270,13488,LPG
1511,Q3 2.0 TDI,Audi,2017,645957,70581,LPG
1512,Innova 2.5 V,Toyota,2023,1936389,113129,Diesel
1513,Fiesta EXI,Ford,2003,341768,88984,Petrol
1514,Suzuki Swift,Maruti,2005,598837,103699,LPG
1515,3 Series 320d,BMW,2015,911067,91688,Petrol
1516,Polo Highline,Volkswagen,2008,1302151,123947,CNG
1517,i20 Asta,Hyundai,2008,444580,525,LPG
1518,Santro Xing,Hyundai,2017,1310560,112516,Petrol
1519,Civic 1.8V,Honda,2018,715501,52247,Petrol
1520,GLA Class 200,Mercedes,2018,1757552,7181,Petrol
1522,Spark 1.0,Chevrolet,2010,1459622,140868,LPG
1523,Indica V2,Tata,2020,1343705,98954,Diesel
1524,EcoSport Titanium,Ford,2014,691748,53587,LPG
1525,Bolero Power,Mahindra,2012,947771,105526,CNG
1526,Safari Dicor,Tata,2022,2127924,95898,CNG
1528,Creta 1.6,Hyundai,2013,1528010,43389,LPG
1529,Suzuki Alto 800,Maruti,2015,281350,37538,LPG
1530,Tiago Revotorq,Tata,2021,1962494,107721,Diesel
1531,Octavia Classic,Skoda,2023,101189,85002,LPG
1532,Suzuki Wagon R,Maruti,2000,630671,62443,Diesel
1533,5 Series 520d,BMW,2020,631819,103006,Petrol
1534,Etios Liva,Toyota,2001,48601,105158,CNG
1535,Civic 1.8V,Honda,2017,1849963,122838,CNG
1536,Ikon 1.3,Ford,2012,928587,43944,CNG
1537,A4 2.0 TDI,Audi,2020,233823,64367,LPG
1538,Nano GenX,Tata,2017,1474697,88945,Diesel
1539,Spark 1.0,Chevrolet,2019,1172165,42817,LPG
1540,Terrano XL,Nissan,2000,733584,76729,CNG
1541,KUV100,Mahindra,2018,1789037,94225,Diesel
1542,X1 sDrive,BMW,2016,1024876,97719,LPG
1543,Kicks XL,Nissan,2015,1688686,138093,Petrol
1544,Bolero Power,Mahindra,2019,593669,137322,Diesel
1545,S Class S350,Mercedes,2000,688781,115314,LPG
1546,Q3 2.0 TDI,Audi,2006,898009,142694,Petrol
1547,Terrano XL,Nissan,2009,225552,148290,CNG
1548,X1 sDrive,BMW,2018,1624960,115228,Diesel
1549,Sunny XV,Nissan,2012,363729,112615,Petrol
1550,A4 2.0 TDI,Audi,2021,1397242,3526,Petrol
1551,Verna 1.6,Hyundai,2004,609976,24837,LPG
1552,Suzuki Alto 800,Maruti,2022,206622,45903,Petrol
1553,Bolero Power,Mahindra,2006,100263,126965,LPG
1554,Verna 1.6,Hyundai,2003,660604,34834,CNG
1555,Fabia 1.2L,Skoda,2010,732499,35292,LPG
1556,Civic 1.8V,Honda,2011,631369,8016,LPG
1557,5 Series 520d,BMW,2014,1009963,47518,Diesel
1558,City VX,Honda,2023,2107564,146657,LPG
1559,Polo Highline,Volkswagen,2020,1951447,27238,Petrol
1560,5 Series 520d,BMW,2006,511293,16801,Petrol
1561,EcoSport Titanium,Ford,2003,460263,63983,CNG
1562,Fabia 1.2L,Skoda,2022,1328237,123360,LPG
1563,Duster 110 PS,Renault,2011,1078357,8553,Diesel
1564,Tiago Revotorq,Tata,2001,712679,138000,CNG
1565,Fortuner 3.0,Toyota,2003,348102,42498,Petrol
1566,City VX,Honda,2021,640229,34702,CNG
1567,Safari Dicor,Tata,2001,773084,64883,CNG
1568,5 Series 520d,BMW,2002,520144,105573,Diesel
1569,Figo Aspire,Ford,2023,1952268,77369,Petrol
1570,CR-V 2.4,Honda,2006,299096,70169,LPG
1571,E Class E220,Mercedes,2002,683045,100928,Petrol
1572,Elantra,Hyundai,2017,1618020,113486,LPG
1573,Endeavour 3.2,Ford,2009,1097061,27454,CNG
1575,Yeti Plus,Skoda,2012,821607,63403,Diesel
1576,Suzuki Vitara Brezza,Maruti,2004,64388,138015,CNG
1577,Sail 1.2,Chevrolet,2002,442442,32704,Petrol
1578,E Class E220,Mercedes,2006,51969,33995,CNG
1579,Sail 1.2,Chevrolet,2001,354448,145794,Diesel
1580,S Class S350,Mercedes,2022,719639,68758,LPG
1581,GLA Class 200,Mercedes,2014,1133919,107363,CNG
1582,Rapid 1.6,Skoda,2023,2088422,11439,CNG
1583,Micra XL,Nissan,2013,362750,129561,Diesel
1584,Lodgy 85 PS,Renault,2008,202055,67210,LPG
1585,Q3 2.0 TDI,Audi,2009,123365,17525,Diesel
1586,A6 2.0 TDI,Audi,2018,1231597,20852,Petrol
1587,Fabia 1.2L,Skoda,2023,545161,84451,CNG
1588,Jeep CL550,Mahindra,2018,1968127,62892,Petrol
1589,A6 2.0 TDI,Audi,2000,476574,129791,LPG
1590,Q7 3.0 TDI,Audi,2020,1436391,71587,CNG
1591,Duster 110 PS,Renault,2013,1239474,68063,Petrol
1592,Fiesta EXI,Ford,2013,566242,12621,Petrol
1593,S Class S350,Mercedes,2021,1691211,28930,Diesel
1594,Ameo 1.5,Volkswagen,2023,2000667,71317,CNG
1595,Bolero Power,Mahindra,2010,1445599,146268,CNG
1596,EcoSport Titanium,Ford,2013,251543,30900,LPG
1597,Amaze SX,Honda,2009,281463,36241,Petrol
1598,Terrano XL,Nissan,2014,1191714,46099,CNG
1599,Beat LS,Chevrolet,2016,1064427,149242,Petrol
1600,Lodgy 85 PS,Renault,2023,930602,41623,LPG
1601,Nexon XZ,Tata,2010,1387551,52636,Petrol
1602,Jetta 2.0,Volkswagen,2022,1216645,78822,LPG
1603,Thar CRDe,Mahindra,2001,723024,65165,CNG
1604,Suzuki Baleno,Maruti,2011,1296275,139307,LPG
1605,Kwid RXT,Renault,2021,147013,131680,Diesel
1606,Nexon XZ,Tata,2017,902362,66674,Petrol
1607,Verna 1.6,Hyundai,2017,1695522,131282,LPG
1608,Figo Aspire,Ford,2021,2054222,77967,CNG
1609,i20 Asta,Hyundai,2014,1475265,28130,Diesel
1610,X5 xDrive,BMW,2000,375084,147019,Petrol
1611,Spark 1.0,Chevrolet,2009,692961,115165,Diesel
1612,Civic 1.8V,Honda,2004,489106,71888,LPG
1613,Q7 3.0 TDI,Audi,2016,695182,42757,Petrol
1614,Sunny XV,Nissan,2003,621882,18218,Diesel
1615,Santro Xing,Hyundai,2018,167356,36283,CNG
1616,XUV500 W8,Mahindra,2016,1201451,18825,CNG
1617,Civic 1.8V,Honda,2021,482558,57032,LPG
1618,City VX,Honda,2021,1655003,48117,Petrol
1619,Endeavour 3.2,Ford,2010,1317664,77168,LPG
1620,Corolla Altis,Toyota,2015,554403,54421,Diesel
1621,X5 xDrive,BMW,2009,625032,39735,Diesel
1622,Fabia 1.2L,Skoda,2011,655300,66123,Petrol
1623,Innova 2.5 V,Toyota,2013,368981,31820,Diesel
1624,X1 sDrive,BMW,2020,1941897,22496,Diesel
1625,Sunny XV,Nissan,2014,1670100,24831,LPG
1626,Yaris J,Toyota,2013,580350,91832,Diesel
1627,Nano GenX,Tata,2009,429681,38157,LPG
1628,Innova 2.5 V,Toyota,2015,1081062,43036,Diesel
1629,A4 2.0 TDI,Audi,2022,1023876,22550,LPG
1630,Kicks XL,Nissan,2003,654619,79673,Petrol
1631,Yeti Plus,Skoda,2012,815228,66366,CNG
1632,Fiesta EXI,Ford,2004,80621,102176,Petrol
1633,3 Series 320d,BMW,2004,904717,87009,LPG
1634,A6 2.0 TDI,Audi,2007,1124993,78322,LPG
1635,C Class C220,Mercedes,2023,1173465,37645,Diesel
1637,EcoSport Titanium,Ford,2012,1524535,138136,Petrol
1638,5 Series 520d,BMW,2001,201473,124370,Petrol
1639,Ameo 1.5,Volkswagen,2013,470825,20674,Diesel
1640,Endeavour 3.2,Ford,2017,1982899,120983,LPG
1641,Sail 1.2,Chevrolet,2018,1948329,61516,LPG
1642,Corolla Altis,Toyota,2000,453902,108180,CNG
1643,Figo Aspire,Ford,2006,398576,49895,LPG
1645,Micra XL,Nissan,2007,425129,66596,Diesel
1646,Nano GenX,Tata,2007,863143,97704,Diesel
1647,3 Series 320d,BMW,2019,2071100,22493,Petrol
1648,Fortuner 3.0,Toyota,2001,102873,105939,CNG
1649,Cruze VCDi,Chevrolet,2002,206789,96132,CNG
1650,Ikon 1.3,Ford,2022,795194,131978,LPG
1651,Jazz V,Honda,2023,1245052,68098,LPG
1652,Tiago Revotorq,Tata,2002,590767,20200,CNG
1653,X5 xDrive,BMW,2007,661941,84869,Diesel
1654,Duster 110 PS,Renault,2019,997779,23130,Diesel
1655,Captur RXL,Renault,2005,399578,78194,Diesel
1657,5 Series 520d,BMW,2008,683948,38977,Petrol
1658,A4 2.0 TDI,Audi,2009,474520,148596,Diesel
1659,Terrano XL,Nissan,2013,811874,109659,Diesel
1660,Beat LS,Chevrolet,2023,2043419,143568,Petrol
1661,Beat LS,Chevrolet,2003,514295,137734,Petrol
1662,Elantra,Hyundai,2014,402554,126217,LPG
1663,Duster 110 PS,Renault,2000,260062,75116,Diesel
1664,A6 2.0 TDI,Audi,2014,1700866,92168,Diesel
1665,Fortuner 3.0,Toyota,2020,117164,52855,LPG
1666,Jazz V,Honda,2002,271033,125852,Diesel
1667,Kicks XL,Nissan,2006,1075169,112504,LPG
1668,Q3 2.0 TDI,Audi,2017,390824,131792,Petrol
1669,Sail 1.2,Chevrolet,2023,1362983,145538,LPG
1670,EcoSport Titanium,Ford,2015,1625322,33340,Petrol
1671,Terrano XL,Nissan,2009,493162,106795,LPG
1672,E Class E220,Mercedes,2009,945263,44364,Diesel
1673,Ameo 1.5,Volkswagen,2015,260367,140603,Petrol
1674,Beat LS,Chevrolet,2008,140884,112522,Petrol
1675,Sail 1.2,Chevrolet,2023,2001003,73362,LPG
1676,E Class E220,Mercedes,2005,128763,61324,Diesel
1677,Q3 2.0 TDI,Audi,2023,1743523,33436,LPG
1678,Micra XL,Nissan,2005,405185,24881,CNG
1679,Suzuki Ertiga,Maruti,2021,1499189,12214,CNG
1680,A4 2.0 TDI,Audi,2017,1172173,140045,Diesel
1681,Cruze VCDi,Chevrolet,2007,692249,138634,Diesel
1682,Sail 1.2,Chevrolet,2000,733941,20143,Diesel
1683,Kwid RXT,Renault,2021,1407557,18217,LPG
1684,S Class S350,Mercedes,2021,663934,28998,Petrol
1685,Superb L&K,Skoda,2007,989676,79512,CNG
1686,Kwid RXT,Renault,2006,414756,4866,Petrol
1687,Jazz V,Honda,2015,1505867,69048,CNG
1688,CR-V 2.4,Honda,2009,1144161,106426,LPG
1689,CR-V 2.4,Honda,2014,753944,757,CNG
1690,Lodgy 85 PS,Renault,2005,244078,135445,CNG
1691,Captur RXL,Renault,2022,583193,74433,CNG
1692,Kicks XL,Nissan,2020,661531,6806,CNG
1693,C Class C220,Mercedes,2013,271901,139229,LPG
1695,Spark 1.0,Chevrolet,2018,208319,36589,LPG
1696,CR-V 2.4,Honda,2017,1229970,87790,LPG
1697,Grand i10,Hyundai,2016,291093,85064,LPG
1698,Q7 3.0 TDI,Audi,2017,222468,30520,Petrol
1699,Rapid 1.6,Skoda,2005,442249,42828,CNG
1700,GLA Class 200,Mercedes,2023,393914,60005,Diesel
1701,Bolero Power,Mahindra,2002,888767,142406,LPG
1702,i20 Asta,Hyundai,2004,379189,38855,Diesel
1703,Lodgy 85 PS,Renault,2009,397069,115217,LPG
1704,Beat LS,Chevrolet,2023,2362232,112178,Petrol
1705,Jeep CL550,Mahindra,2015,1420340,21491,Petrol
1706,Corolla Altis,Toyota,2021,770707,22840,LPG
1707,Vento 1.5,Volkswagen,2023,918863,23675,Petrol
1708,X1 sDrive,BMW,2023,2117667,35252,Petrol
1709,X1 sDrive,BMW,2015,260763,97857,Diesel
1710,Micra XL,Nissan,2005,729388,83236,LPG
1712,Scorpio S10,Mahindra,2006,1022628,40020,Diesel
1713,XUV500 W8,Mahindra,2005,927172,54214,Petrol
1714,Safari Dicor,Tata,2008,883331,103878,Petrol
1715,GLA Class 200,Mercedes,2002,499348,117008,Petrol
1716,Jazz V,Honda,2003,477247,20545,CNG
1717,Civic 1.8V,Honda,2015,380653,115118,Diesel
1718,Captur RXL,Renault,2001,808018,55731,Petrol
1719,Duster 110 PS,Renault,2010,63887,127892,Diesel
1720,Suzuki Alto 800,Maruti,2006,738578,68324,CNG
1721,Amaze SX,Honda,2000,599292,60597,LPG
1722,Fabia 1.2L,Skoda,2003,290277,147251,LPG
1723,Octavia Classic,Skoda,2023,1734724,87368,Diesel
1724,Duster 110 PS,Renault,2007,85762,18237,LPG
1725,Duster 110 PS,Renault,2012,510054,32447,Diesel
1726,Q7 3.0 TDI,Audi,2018,817795,3094,Diesel
1727,S Class S350,Mercedes,2012,1448209,29785,Petrol
1728,Jetta 2.0,Volkswagen,2003,515460,63437,Diesel
1729,3 Series 320d,BMW,2015,667362,125326,Petrol
1730,Endeavour 3.2,Ford,2003,934150,107455,Petrol
1731,CR-V 2.4,Honda,2004,145534,33498,Diesel
1732,Fortuner 3.0,Toyota,2014,660953,141,CNG
1733,Nexon XZ,Tata,2005,278278,70799,CNG
1734,3 Series 320d,BMW,2007,503206,131592,Petrol
1735,Terrano XL,Nissan,2000,158347,54374,Petrol
1736,Sail 1.2,Chevrolet,2001,98370,103394,LPG
1737,Cruze VCDi,Chevrolet,2016,1913182,128398,LPG
1738,Q3 2.0 TDI,Audi,2020,327672,91432,Diesel
1739,X1 sDrive,BMW,2002,492819,58974,Petrol
1740,Rapid 1.6,Skoda,2000,159988,52511,Diesel
1741,Kicks XL,Nissan,2006,674259,68998,CNG
1742,Innova 2.5 V,Toyota,2020,1512875,54462,Diesel
1743,Suzuki Vitara Brezza,Maruti,2022,512032,53359,LPG
1744,Yaris J,Toyota,2016,921467,128045,LPG
1745,Endeavour 3.2,Ford,2010,252710,2080,Petrol
1746,Tiago Revotorq,Tata,2004,306330,117335,CNG
1747,CR-V 2.4,Honda,2023,306945,32190,CNG
1748,Amaze SX,Honda,2007,78617,25216,CNG
1749,Kwid RXT,Renault,2003,223728,87038,LPG
1750,Polo Highline,Volkswagen,2023,924003,135159,LPG
1751,Micra XL,Nissan,2009,1305622,63976,Diesel
1752,Innova 2.5 V,Toyota,2014,143637,108708,Petrol
1753,Sunny XV,Nissan,2013,68114,50146,Diesel
1754,3 Series 320d,BMW,2010,521497,144785,CNG
1756,Sunny XV,Nissan,2003,156754,70456,CNG
1757,Tiago Revotorq,Tata,2007,1177767,128086,CNG
1758,Etios Liva,Toyota,2004,501607,115557,LPG
1759,Fiesta EXI,Ford,2023,2221780,134811,Petrol
1761,3 Series 320d,BMW,2009,999100,24637,Petrol
1762,Suzuki Alto 800,Maruti,2014,751535,6094,Petrol
1763,Innova 2.5 V,Toyota,2018,1354007,71242,CNG
1764,Figo Aspire,Ford,2010,598203,123064,Diesel
1765,Micra XL,Nissan,2007,174405,48231,LPG
1766,A6 2.0 TDI,Audi,2012,1293106,80016,Petrol
1767,C Class C220,Mercedes,2018,450519,87794,LPG
1768,Fortuner 3.0,Toyota,2003,137332,32538,Diesel
1769,Rapid 1.6,Skoda,2019,1024771,49532,Petrol
1770,Sail 1.2,Chevrolet,2001,57749,15974,LPG
1771,Verna 1.6,Hyundai,2005,391557,138724,Petrol
1772,Kwid RXT,Renault,2019,2125018,46923,Diesel
1773,Lodgy 85 PS,Renault,2008,1076839,94717,CNG
1774,Scorpio S10,Mahindra,2015,439527,123920,Petrol
1775,Suzuki Swift,Maruti,2016,486628,73549,CNG
1776,5 Series 520d,BMW,2020,2073480,43983,CNG
1777,Amaze SX,Honda,2016,1400448,43910,Petrol
1778,X5 xDrive,BMW,2014,948673,70912,CNG
1779,Jazz V,Honda,2014,1632876,44823,Petrol
1780,GLA Class 200,Mercedes,2009,91134,78250,Petrol
1781,Yeti Plus,Skoda,2021,1255725,70564,Diesel
1782,X1 sDrive,BMW,2018,1651452,122930,CNG
1783,Octavia Classic,Skoda,2002,284920,24017,Petrol
1784,Micra XL,Nissan,2009,806952,10348,Petrol
1786,Ameo 1.5,Volkswagen,2018,1338788,98011,Diesel
1787,Yeti Plus,Skoda,2023,895353,123108,Petrol
1788,A3 35 TFSI,Audi,2012,188658,19280,Petrol
1789,Kwid RXT,Renault,2004,865907,62942,Diesel
1790,A3 35 TFSI,Audi,2020,1890361,121635,Diesel
1791,3 Series 320d,BMW,2010,1441089,63091,Petrol
1792,Q3 2.0 TDI,Audi,2022,160271,87379,Diesel
1793,Yeti Plus,Skoda,2016,223650,4729,LPG
1794,CR-V 2.4,Honda,2015,1264561,101290,Diesel
1795,Verna 1.6,Hyundai,2019,481820,148133,CNG
1796,Yaris J,Toyota,2010,897216,83632,CNG
1797,KUV100,Mahindra,2018,895327,115350,Diesel
1798,Indica V2,Tata,2013,351338,120977,CNG
1799,Grand i10,Hyundai,2021,1909083,79733,Petrol
1800,Yeti Plus,Skoda,2006,1053149,45447,LPG
1801,Sunny XV,Nissan,2018,1965286,22959,Petrol
1802,KUV100,Mahindra,2011,506745,119102,CNG
1804,i20 Asta,Hyundai,2001,154391,38263,Petrol
1805,Harrier XZ,Tata,2015,1448759,135869,CNG
1806,Vento 1.5,Volkswagen,2006,1161850,70189,LPG
1807,KUV100,Mahindra,2009,868825,119148,Diesel
1808,X5 xDrive,BMW,2008,457593,56649,Diesel
1809,Amaze SX,Honda,2015,826088,147429,Petrol
1810,Kwid RXT,Renault,2009,757631,99914,Petrol
1811,Civic 1.8V,Honda,2001,265367,13329,LPG
1812,Yaris J,Toyota,2004,938953,71530,Petrol
